term,revenue,operating_income,net_income,cfo,capex,total_assets,total_equity,shares_diluted
2010Q1,26741000000,7827000000,6004000000,9773000000,1214000000,86742000000,54666000000,933154000
2010Q2,2441000000,877000000,448000000,-1662000000,-564000000,75183000000,47791000000,922878000
2010Q3,15700000000,4234000000,3253000000,4801000000,595000000,75183000000,47791000000,927361000
2010Q4,20343000000,5447000000,4308000000,5683000000,760000000,75183000000,47791000000,924712000
2011Q1,46333000000,17340000000,13064000000,17554000000,1321000000,138681000000,90054000000,941572000
2011Q2,5075000000,-1639000000,-1073000000,-1562000000,517000000,116371000000,76615000000,935944000
2011Q3,28571000000,9379000000,7308000000,11108000000,777000000,116371000000,76615000000,937810000
2011Q4,28270000000,8710000000,6623000000,10429000000,1645000000,116371000000,76615000000,936645000
2012Q1,54512000000,17210000000,13078000000,23426000000,2317000000,196088000000,127346000000,947217000
2012Q2,31007000000,15514000000,11608000000,8105000000,461000000,176064000000,118210000000,944893000
2012Q3,35023000000,11573000000,8824000000,10189000000,2056000000,176064000000,118210000000,947059000
2012Q4,35966000000,10944000000,8223000000,9136000000,3461000000,176064000000,118210000000,6617483000
2013Q1,57594000000,17463000000,13072000000,22670000000,1985000000,225184000000,129684000000,6310161000
2013Q2,40521000000,12305000000,9553000000,13260000000,2340000000,207000000000,135490000000,946626000
2013Q3,35323000000,9201000000,6900000000,7828000000,1885000000,207000000000,123549000000,6574205000
2013Q4,37472000000,10030000000,7512000000,9908000000,1955000000,207000000000,123549000000,6521634000
2014Q1,74599000000,24246000000,18024000000,33722000000,3217000000,261894000000,123328000000,5881803000
2014Q2,28641000000,6810000000,5271000000,2486000000,150000000,231839000000,120179000000,6233430000
2014Q3,37432000000,10282000000,7748000000,10255000000,2378000000,231839000000,120940000000,6172857000
2014Q4,42123000000,11165000000,8467000000,13250000000,3826000000,231839000000,111547000000,6122663000
2015Q1,75872000000,24171000000,18361000000,27463000000,3612000000,293284000000,128267000000,5594127000
2015Q2,56737000000,18353000000,13232000000,25340000000,1974000000,290479000000,129006000000,5858330000
2015Q3,49605000000,14083000000,10677000000,14988000000,2043000000,290479000000,125677000000,5829920000
2015Q4,51501000000,14623000000,11124000000,13475000000,3618000000,290479000000,119355000000,5793069000
