id,symbol,ticker,name
circle-internet-group-ondo-tokenized-stock,crclon,CRCL,Circle Internet Group
micron-technology-ondo-tokenized-stock,muon,MU,Micron Technology
ishares-core-s-p-500-etf-ondo-tokenized-etf,ivvon,IVV,iShares Core S&P 500 ETF
nvidia-ondo-tokenized-stock,nvdaon,NVDA,NVIDIA
spdr-s-p-500-etf-ondo-tokenized-etf,spyon,SPY,SPDR S&P 500 ETF
ishares-bitcoin-trust-ondo-tokenized,ibiton,IBIT,iShares Bitcoin Trust (Ondo Tokenized)
marvell-technology-ondo-tokenized-stock,mrvlon,MRVL,Marvell Technology
invesco-qqq-etf-ondo-tokenized-etf,qqqon,QQQ,Invesco QQQ ETF
ishares-silver-trust-ondo-tokenized-stock,slvon,SLV,iShares Silver Trust
hims-hers-health-ondo-tokenized-stock,himson,HIMS,Hims & Hers Health
tesla-ondo-tokenized-stock,tslaon,TSLA,Tesla
alphabet-class-a-ondo-tokenized-stock,googlon,GOOGL,Alphabet Class A
ishares-20-year-treasury-bond-etf-ondo-tokenized-etf,tlton,TLT,iShares 20+ Year Treasury Bond ETF
ishares-core-msci-eafe-etf-ondo-tokenized-etf,iefaon,IEFA,iShares Core MSCI EAFE ETF
intel-ondo-tokenized-stock,intcon,INTC,Intel
ishares-core-us-aggregate-bond-etf-ondo-tokenized-etf,aggon,AGG,iShares Core US Aggregate Bond ETF
apple-ondo-tokenized-stock,aaplon,AAPL,Apple
ishares-gold-trust-ondo-tokenized-stock,iauon,IAU,iShares Gold Trust
pdd-holdings-ondo-tokenized,pddon,PDD,PDD Holdings (Ondo Tokenized)
sofi-technologies-ondo-tokenized-stock,sofion,SOFI,SoFi Technologies
ishares-core-s-p-total-us-stock-market-etf-ondo-tokenized-etf,itoton,ITOT,iShares Core S&P Total US Stock Market ETF
microstrategy-ondo-tokenized-stock,mstron,MSTR,MicroStrategy
microsoft-ondo-tokenized-stock,msfton,MSFT,Microsoft
ishares-tips-bond-etf-ondo-tokenized-etf,tipon,TIP,iShares TIPS Bond ETF
amd-ondo-tokenized-stock,amdon,AMD,AMD
ishares-msci-eafe-etf-ondo-tokenized-etf,efaon,EFA,iShares MSCI EAFE ETF
arm-holdings-plc-ondo-tokenized-stock,armon,ARM,Arm Holdings plc
taiwan-semiconductor-manufacturing-ondo-tokenized-stock,tsmon,TSM,Taiwan Semiconductor Manufacturing
oracle-ondo-tokenized-stock,orclon,ORCL,Oracle
ishares-core-msci-emerging-markets-etf-ondo-tokenized-etf,iemgon,IEMG,iShares Core MSCI Emerging Markets ETF
