ticker,company,sector,industry,country,market_cap,fiscal_year_end_month,biz_model,market_cap_str,exclude_analysis
NVDA,NVIDIA Corporation,Technology,Semiconductors,United States,5053469425664,1,"NVIDIA Corporation operates as a data center scale AI infrastructure company. The company operates through two segments, Compute & Networking, and Graphics segments.",$5.05T,False
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,United States,4430541881344,12,"Alphabet Inc. offers various products and platforms in the United States, Europe, the Middle East, Africa, the Asia-Pacific, Canada, and Latin America.",$4.43T,False
AAPL,Apple Inc.,Technology,Consumer Electronics,United States,4428825362432,9,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide.",$4.43T,False
GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,United States,4404444921856,12,"Alphabet Inc. offers various products and platforms in the United States, Europe, the Middle East, Africa, the Asia-Pacific, Canada, and Latin America.",$4.40T,False
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,United States,3058583732224,6,"Microsoft Corporation develops and supports software, services, devices, and solutions worldwide. The Productivity and Business Processes segment offers Microsoft 365 commercial, enterprise mobility + security, windows commercial, power BI, exchange, sharepoint, Microsoft teams, security and compliance, and copilot; Microsoft 365 commercial products, such as Windows commercial on-premises and office licensed services; Microsoft 365 consumer products and cloud services, including Microsoft 365 consumer subscriptions, office licensed on-premises, and other consumer services; LinkedIn; dynamics products and cloud services, such as dynamics 365, cloud-based applications, and on-premises ERP and CRM applications.",$3.06T,False
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,United States,2637858340864,12,"Amazon.com, Inc. engages in the retail sale of consumer products, advertising, and subscriptions service through online and physical stores in North America and internationally.",$2.64T,False
AVGO,Broadcom Inc.,Technology,Semiconductors,United States,1877769453568,11,"Broadcom Inc. designs, develops, and supplies various semiconductor devices and infrastructure software solutions internationally.",$1.88T,False
TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,United States,1535903268864,12,"Tesla, Inc. designs, develops, manufactures, leases, and sells electric vehicles, and energy generation and storage systems in the United States, China, and internationally.",$1.54T,False
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,United States,1485967589376,12,"Meta Platforms, Inc. engages in the development of products that enable people to connect and share with friends and family through mobile devices, personal computers, virtual reality (VR) headsets, and AI glasses in the United States, Canada, Europe, Asia-Pacific, and internationally.",$1.49T,False
MU,"Micron Technology, Inc.",Technology,Semiconductors,United States,1070535409664,9,"Micron Technology, Inc. designs, develops, manufactures, and sells memory and storage products in the United States, Taiwan, Japan, Mainland China, Hong Kong, Europe, and internationally.",$1.07T,False
BRK-B,Berkshire Hathaway Inc.,Financial Services,Insurance - Diversified,United States,1050387808256,12,"Berkshire Hathaway Inc., together with its subsidiaries, engages in the insurance, freight rail transportation, and utility businesses. The company provides property, casualty, life, accident, and health insurance and reinsurance; operates railroad systems in North America; generates, transmits, stores, and distributes electricity from natural gas, coal, wind, solar, hydroelectric, nuclear, and geothermal sources; operates natural gas distribution and storage facilities, interstate pipelines, liquefied natural gas facilities, and compressor and meter stations; and holds interest in coal mining assets.",$1.05T,True
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,United States,1024744620032,12,"Eli Lilly and Company discovers, develops, manufactures, and markets human pharmaceutical products in the United States, Europe, China, Japan, and internationally. The company offers cardiometabolic health products, including Basaglar, Humalog, Humalog Mix 75/25, Humalog U-100, Humalog U-200, Humalog Mix 50/50, insulin lispro, insulin lispro protamine, insulin lispro mix 75/25, Humulin, Humulin 70/30, Humulin N, Humulin R, Humulin U-500 for diabetes; Jardiance, Mounjaro, and Trulicity for type 2 diabetes; and Zepbound for obesity.",$1.02T,False
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,United States,953616629760,1,"Walmart Inc. engages in the operation of retail and wholesale stores and clubs, ecommerce websites, and mobile applications worldwide.",$953.6B,False
JPM,JPMorgan Chase & Co.,Financial Services,Banks - Diversified,United States,833622704128,12,"JPMorgan Chase & Co. operates as a bank and financial holding company in the United States, rest of North America, Europe, the Middle East, Africa, the Asia Pacific, Latin America, and the Caribbean.",$833.6B,True
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,United States,799532384256,12,"Advanced Micro Devices, Inc. operates as a semiconductor company internationally.",$799.5B,False
XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,United States,628995719168,12,"Exxon Mobil Corporation engages in the exploration and production of crude oil and natural gas in the United States, Canada, and internationally. The company operates through Upstream, Energy Products, Chemical Products, and Specialty Products segments.",$629.0B,False
ORCL,Oracle Corporation,Technology,Software - Infrastructure,United States,609204109312,5,"Oracle Corporation offers products and services that address enterprise information technology environments worldwide. Its Oracle cloud software as a service offering include various cloud software applications, including Oracle Fusion cloud enterprise resource planning ERP, Oracle Fusion cloud enterprise performance management EPM, Oracle Fusion cloud supply chain and manufacturing management SCM, Oracle Fusion cloud human capital management HCM, and NetSuite applications suite, Oracle Health applications, as well as Oracle Fusion Sales, Service, and Marketing.",$609.2B,False
V,Visa Inc.,Financial Services,Credit Services,United States,607930417152,9,Visa Inc. operates as a payment technology company in the United States and internationally.,$607.9B,True
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,United States,558859485184,1,"Johnson & Johnson, together with its subsidiaries, engages in the research and development, manufacture, and sale of a range of products in the healthcare field worldwide. It operates in two segments, Innovative Medicine and MedTech.",$558.9B,False
INTC,Intel Corporation,Technology,Semiconductors,United States,554216980480,12,"Intel Corporation designs, develops, manufactures, markets, sells, and services computing and related end products and services in the United States, Ireland, Israel, and internationally. It operates through three segments: CCG, DCAI, and Intel Foundry.",$554.2B,False
CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,United States,489329098752,7,"Cisco Systems, Inc. designs, develops, and sells technologies that help to power, secure, and draw insights from the internet in the Americas, Europe, the Middle East, Africa, the Asia Pacific, Japan, and China.",$489.3B,False
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,United States,432280961024,8,"Costco Wholesale Corporation, together with its subsidiaries, engages in the operation of membership warehouses in the United States, Puerto Rico, Canada, Mexico, Japan, the United Kingdom, Korea, Australia, Taiwan, China, Spain, France, Iceland, New Zealand, and Sweden. It offers merchandise, including sundries, dry groceries, candies, coolers, freezers, deli, liquor, and tobacco; non-food merchandise comprising appliances, small electronics, health and beauty aids, hardware, lawn and garden, sporting goods, tires, toys and seasonal, automotive, stamps, tickets, apparel, furniture, domestics, housewares, special order kiosks, and jewelry; and fresh food, such as meat, produce, service deli, and bakery products.",$432.3B,False
MA,Mastercard Incorporated,Financial Services,Credit Services,United States,429130186752,12,"Mastercard Incorporated, a technology company, provides transaction processing and other payment-related products and services in the United States and internationally. The company offers products and services for account holders, merchants, financial institutions, digital partners, businesses, governments, and other organizations, such as programs that enable issuers to provide consumers with credits to defer payments; payment products and solutions that allow its customers to access funds in deposit and other accounts; prepaid programs services; consumer bill payment services; and commercial credit, debit, and prepaid payment products and solutions.",$429.1B,True
CAT,Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery,United States,421736448000,12,"Caterpillar Inc. provides construction and mining equipment, off-highway diesel and natural gas engines, industrial gas turbines, and diesel-electric locomotives in the United States and internationally.",$421.7B,False
LRCX,Lam Research Corporation,Technology,Semiconductor Equipment & Materials,United States,405747793920,6,"Lam Research Corporation designs, manufactures, markets, refurbishes, and services semiconductor processing equipment used in the fabrication of integrated circuits in the United States, China, Korea, Taiwan, Japan, Southeast Asia, and Europe. The company offers ALTUS systems to deposit conformal or selective films for tungsten or molybdenum metallization applications; SABRE electrochemical deposition products for copper interconnect transition that offers copper damascene manufacturing; SPEED gapfill high-density plasma chemical vapor deposition (CVD) products; Striker single-wafer atomic layer deposition products for dielectric film solutions; and VECTOR plasma-enhanced CVD products.",$405.7B,False
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,United States,394118496256,12,"AbbVie Inc., a research-based biopharmaceutical company, engages in the research and development, manufacturing, commercializing, and sale of medicines and therapies worldwide. The company offers Skyrizi to treat autoimmune diseases; Rinvoq to treat inflammatory diseases; Imbruvica for the treatment of adult patients with blood cancers; Venclexta to treat blood cancers; Elahere to treat various cancer; and Epkinly to treat lymphoma; and Emrelis for the treatment of lung cancer.",$394.1B,False
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,United States,390763020288,10,"Applied Materials, Inc. provides materials engineering solutions, equipment, services, and software to the semiconductor and related industries in the United States, China, Korea, Taiwan, Japan, Southeast Asia, Europe, and internationally.",$390.8B,False
BAC,Bank of America Corporation,Financial Services,Banks - Diversified,United States,380590161920,12,"Bank of America Corporation, through its subsidiaries, provides various financial products and services for individual consumers, small and middle-market businesses, institutional investors, large corporations, and governments worldwide. It operates through four segments: Consumer Banking, Global Wealth & Investment Management (GWIM), Global Banking, and Global Markets.",$380.6B,True
CVX,Chevron Corporation,Energy,Oil & Gas Integrated,United States,376889966592,12,"Chevron Corporation, through its subsidiaries, engages in the integrated energy and chemicals operations in the United States and internationally. It operates through Upstream, Downstream, and All Other segments.",$376.9B,False
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,United States,369224253440,12,"UnitedHealth Group Incorporated operates as a health care company in the United States and internationally. It operates through four segments: Optum Health, Optum Insight, Optum Rx; and UnitedHealthcare.",$369.2B,False
NFLX,"Netflix, Inc.",Communication Services,Entertainment,United States,347980398592,12,"Netflix, Inc. provides entertainment services worldwide.",$348.0B,False
KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,United States,342219456512,12,"The Coca-Cola Company, a beverage company, manufactures and sells various nonalcoholic beverages in the United States and internationally. The company provides Trademark Coca-Cola, sparkling soft drinks and flavors; water, sports, coffee, and tea; juice, value-added dairy, and plant-based beverages; and emerging beverages.",$342.2B,False
PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,United States,337879728128,6,"The Procter & Gamble Company provides branded consumer packaged goods worldwide. It operates through Beauty; Grooming; Health Care; Fabric & Home Care; and Baby, Feminine & Family Care segments.",$337.9B,False
